time,low,high,open,close
Mar  6 13:21:00,1121140,1302610,1300480,1300560
Mar  5 23:20:00,1122600,1295520,1295300,1295240
Mar  6 03:32:00,1121140,1296560,1123090,1123040
Mar  6 05:11:00,1121140,1296560,1123360,1123470
Mar  6 05:20:00,1121140,1296560,1123500,1123510
Mar  6 07:00:00,1121140,1296570,1296410,1123020
Mar  6 16:49:00,1121140,1304910,1131080,1131440
Mar  6 19:09:00,1121140,1304910,1300560,1300640
Mar  6 19:35:00,1121140,1304910,1130660,1301270
Mar  6 05:37:00,1121140,1296560,1295260,1123630
Mar  6 14:06:00,1121140,1302610,1132290,1132440
Mar  6 17:02:00,1121140,1304910,1132240,1132400
Mar  6 20:31:00,1121140,1304910,1131550,1131630
Mar  6 07:22:00,1121140,1297260,1122680,1122700
Mar  6 10:32:00,1121140,1301430,1131650,1131560
Mar  6 12:04:00,1121140,1302610,1132880,1132670
Mar  6 04:46:00,1121140,1296560,1295510,1295490
Mar  6 09:00:00,1121140,1298170,1127260,1127360
Mar  6 09:41:00,1121140,1299750,1128380,1128600
Mar  6 15:09:00,1121140,1304910,1304390,1135100
Mar  6 20:01:00,1121140,1304910,1301400,1131750
Mar  6 06:26:00,1121140,1296560,1295680,1122710
Mar  6 12:31:00,1121140,1302610,1132210,1132400
Mar  6 14:18:00,1121140,1302610,1301710,1301420
Mar  6 18:04:00,1121140,1304910,1130310,1130810
Mar  6 19:01:00,1121140,1304910,1300140,1300060
Mar  6 01:49:00,1121140,1295860,1122700,1122850
Mar  6 05:23:00,1121140,1296560,1123450,1123310
Mar  6 09:02:00,1121140,1298170,1127660,1127750
Mar  6 12:53:00,1121140,1302610,1131700,1131720
Mar  6 18:26:00,1121140,1304910,1299860,1299870
Mar  6 05:02:00,1121140,1296560,1295620,1295600
Mar  6 07:50:00,1121140,1297620,1297260,1297460
Mar  6 08:09:00,1121140,1298120,1123510,1123180
Mar  6 10:26:00,1121140,1301430,1301290,1131830
Mar  6 10:39:00,1121140,1301430,1130730,1130870
Mar  6 00:49:00,1121350,1295860,1122130,1295440
Mar  6 00:55:00,1121140,1295860,1121250,1121660
Mar  6 02:12:00,1121140,1296560,1124570,1124350
Mar  6 02:44:00,1121140,1296560,1123620,1295910
Mar  6 06:54:00,1121140,1296560,1122620,1296400
Mar  6 12:08:00,1121140,1302610,1132490,1132320
Mar  6 14:05:00,1121140,1302610,1132530,1300160
Mar  6 17:37:00,1121140,1304910,1299180,1130210
Mar  6 18:16:00,1121140,1304910,1300220,1130700
Mar  6 18:27:00,1121140,1304910,1129930,1300170
Mar  6 01:27:00,1121140,1295860,1122800,1122810
Mar  6 07:09:00,1121140,1296600,1122730,1122670
Mar  6 16:22:00,1121140,1304910,1132290,1132180
Mar  6 03:55:00,1121140,1296560,1122980,1122990
Mar  6 06:09:00,1121140,1296560,1122960,1122950
Mar  6 07:13:00,1121140,1296640,1122670,1296430
Mar  6 15:10:00,1121140,1304910,1135030,1135060
Mar  6 20:52:00,1121140,1304910,1130350,1303210
Mar  5 23:43:00,1122500,1295520,1122710,1122700
Mar  6 12:39:00,1121140,1302610,1300390,1300220
Mar  6 14:03:00,1121140,1302610,1132350,1299690
Mar  6 19:00:00,1121140,1304910,1129880,1300160
Mar  5 23:33:00,1122600,1295520,1295250,1295240
Mar  5 23:36:00,1122500,1295520,1122670,1122580
Mar  6 04:26:00,1121140,1296560,1295570,1123590
Mar  6 06:10:00,1121140,1296560,1122960,1295590
Mar  6 10:01:00,1121140,1299780,1299120,1298820
Mar  6 20:51:00,1121140,1304910,1130390,1130350
Mar  5 23:08:00,1122780,1295460,1123010,1122890
Mar  6 02:29:00,1121140,1296560,1123880,1295790
Mar  6 08:34:00,1121140,1298120,1126690,1126640
Mar  6 09:53:00,1121140,1299780,1299600,1128820
Mar  6 14:27:00,1121140,1302610,1134680,1302170
Mar  6 01:00:00,1121140,1295860,1122030,1295270
Mar  6 01:24:00,1121140,1295860,1122590,1295710
Mar  6 08:52:00,1121140,1298170,1127420,1127560
Mar  6 09:52:00,1121140,1299780,1128960,1128780
Mar  6 13:37:00,1121140,1302610,1130740,1131300
Mar  6 11:33:00,1121140,1302370,1133430,1133630
Mar  6 16:36:00,1121140,1304910,1132020,1301880
Mar  6 18:19:00,1121140,1304910,1130580,1130380
Mar  6 17:18:00,1121140,1304910,1131840,1300670
